"","Company...Maker.if.known.","Specific.Bean.Origin.or.Bar.Name","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin"
"74","Ambrosia","Venezuela",1498,2015,"70%","Canada",3.25," ","Venezuela"
"75","Ambrosia","Peru",1498,2015,"68%","Canada",3.5," ","Peru"
"76","Amedei","Piura, Blanco de Criollo",979,2012,"70%","Italy",3.75," ","Peru"
"77","Amedei","Porcelana",111,2007,"70%","Italy",4,"Criollo (Porcelana)","Venezuela"
"78","Amedei","Chuao",111,2007,"70%","Italy",5,"Trinitario","Venezuela"
"79","Amedei","Ecuador",123,2007,"70%","Italy",3,"Trinitario","Ecuador"
"80","Amedei","Jamaica",123,2007,"70%","Italy",3,"Trinitario","Jamaica"
"81","Amedei","Grenada",123,2007,"70%","Italy",3.5,"Trinitario","Grenada"
"82","Amedei","Venezuela",123,2007,"70%","Italy",3.75,"Trinitario (85% Criollo)","Venezuela"
"83","Amedei","Madagascar",123,2007,"70%","Italy",4,"Trinitario (85% Criollo)","Madagascar"
"84","Amedei","Trinidad",129,2007,"70%","Italy",3.5,"Trinitario","Trinidad"
"85","AMMA","Catongo",1065,2013,"75%","Brazil",3.25,"Forastero (Catongo)","Brazil"
"86","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"85%","Brazil",2.75,"Forastero (Parazinho)","Brazil"
"87","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"50%","Brazil",3.75,"Forastero (Parazinho)","Brazil"
"88","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"75%","Brazil",3.75,"Forastero (Parazinho)","Brazil"
"89","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"60%","Brazil",4,"Forastero (Parazinho)","Brazil"
"90","Anahata","Elvesia",1259,2014,"75%","U.S.A.",3," ","Dominican Republic"
"91","Animas","Alto Beni",1852,2016,"75%","U.S.A.",3.5," ","Bolivia"
"92","Ara","Madagascar",1375,2014,"75%","France",3,"Trinitario","Madagascar"
"93","Ara","Chiapas",1379,2014,"72%","France",2.5," ","Mexico"
"94","Ara","Equateur",1379,2014,"75%","France",2.75," ","Ecuador"
"95","Ara","Trincheras",1379,2014,"75%","France",3," ","Venezuela"
"96","Arete","San Juan",1724,2016,"70%","U.S.A.",3.5,"Trinitario","Trinidad"
"97","Arete","Kokoa Kamili",1724,2016,"70%","U.S.A.",3.75," ","Tanzania"
"98","Arete","Tien Giang",1900,2016,"73%","U.S.A.",3.5,"Trinitario","Vietnam"
"99","Arete","Hacienda Victoria",1904,2016,"70%","U.S.A.",3.25," ","Ecuador"
"100","Arete","Costa Esmeraldas",1904,2016,"70%","U.S.A.",3.25," ","Ecuador"
"101","Arete","Lachua",1904,2016,"70%","U.S.A.",3.5," ","Guatemala"
"102","Arete","Rugoso",1904,2016,"70%","U.S.A.",3.75," ","Nicaragua"
"103","Arete","La Masica, FHIA",1908,2016,"70%","U.S.A.",3.5," ","Honduras"
"104","Arete","Coto Brus, Terciopelo",1908,2016,"70%","U.S.A.",4," ","Costa Rica"
"105","Arete","Phantom",1924,2016,"70%","U.S.A.",4,"Forastero (Nacional)","Peru"
"106","Arete","Elvesia",1928,2016,"70%","U.S.A.",3.75," ","Dominican Republic"
"107","Arete","Matasawalevu",1928,2016,"70%","U.S.A.",3.25," ","Fiji"
"108","Arete","Lam Dong",1928,2016,"73%","U.S.A.",3.25," ","Vietnam"
"109","Arete","Fazenda Camboa",1534,2015,"70%","U.S.A.",3.5," ","Brazil"
"110","Arete","Nacional",1534,2015,"68%","U.S.A.",3.5,"Forastero (Nacional)","Peru"
"111","Arete","Puerto Quito, heirloom",1534,2015,"70%","U.S.A.",3.75,"Forastero (Nacional)","Ecuador"
"112","Arete","Oko Caribe",1598,2015,"70%","U.S.A.",3.5," ","Domincan Republic"
"113","Arete","Maya Mountain",1598,2015,"70%","U.S.A.",3.75,"Trinitario","Belize"
"114","Arete","Chuno",1598,2015,"70%","U.S.A.",4,"Criollo, Trinitario","Nicaragua"
"115","Arete","Fazenda Camboa",1602,2015,"75%","U.S.A.",2.75," ","Brazil"
"116","Arete","Guatemala",1602,2015,"70%","U.S.A.",3.25," ","Guatemala"
"117","Arete","Camino Verde",1602,2015,"75%","U.S.A.",3.5," ","Ecuador"
"118","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,"72%","U.K.",3.25,"Trinitario","Trinidad"
"119","Artisan du Chocolat","Colombia, Casa Luker",947,2012,"72%","U.K.",3.75," ","Colombia"
"120","Artisan du Chocolat","Haiti",729,2011,"72%","U.K.",4," ","Haiti"
"121","Artisan du Chocolat","Panama",745,2011,"72%","U.K.",2.75," ","Panama"
"122","Artisan du Chocolat","Venezuela",486,2010,"100%","U.K.",1.75," ","Venezuela"
"123","Artisan du Chocolat","Jamaica",531,2010,"72%","U.K.",3.75,"Trinitario","Jamaica"
"124","Artisan du Chocolat","Costa Rica",600,2010,"72%","U.K.",3.25," ","Costa Rica"
"125","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,"72%","U.K.",3.25,"Trinitario","Vietnam"
"126","Artisan du Chocolat","Bali",600,2010,"72%","U.K.",3.5," ","Indonesia"
"127","Artisan du Chocolat","Ocumare, Venezuela",355,2009,"75%","U.K.",2.5,"Criollo, Trinitario","Venezuela"
"128","Artisan du Chocolat","Java",355,2009,"72%","U.K.",2.75,"Trinitario","Indonesia"
"129","Artisan du Chocolat","Brazil Rio Doce",363,2009,"72%","U.K.",1.75," ","Brazil"
"130","Artisan du Chocolat","Madagascar",363,2009,"80%","U.K.",3,"Criollo, Trinitario","Madagascar"
"131","Artisan du Chocolat","Peru",363,2009,"75%","U.K.",3,"Criollo","Peru"
"132","Artisan du Chocolat","Dominican Republic",363,2009,"72%","U.K.",3.25,"Trinitario","Dominican Republic"
"133","Artisan du Chocolat","Congo",300,2008,"72%","U.K.",3.75,"Forastero","Congo"
"134","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,"72%","U.K.",2.75,"Trinitario","Colombia"
"135","Askinosie","Mababa",1780,2016,"68%","U.S.A.",3.75,"Trinitario","Tanzania"
"136","Askinosie","Tenende, Uwate",647,2011,"72%","U.S.A.",3.75,"Trinitario","Tanzania"
"137","Askinosie","Cortes",661,2011,"70%","U.S.A.",3.75,"Trinitario","Honduras"
"138","Askinosie","Davao",331,2009,"77%","U.S.A.",3.75,"Trinitario","Philippines"
"139","Askinosie","Xoconusco",141,2007,"75%","U.S.A.",2.5,"Trinitario","Mexico"
"140","Askinosie","San Jose del Tambo",175,2007,"70%","U.S.A.",3,"Forastero (Arriba)","Ecuador"
"141","Bahen & Co.","Papua New Guinea",1474,2015,"70%","Australia",3.5," ","Papua New Guinea"
"142","Bahen & Co.","Sambirano",995,2012,"70%","Australia",3,"Trinitario","Madagascar"
"143","Bahen & Co.","Bahia",999,2012,"70%","Australia",2.5," ","Brazil"
"144","Bakau","Bambamarca, 2015",1454,2015,"70%","Peru",2.75," ","Peru"
"145","Bakau","Huallabamba, 2015",1454,2015,"70%","Peru",3.5," ","Peru"
"146","Bar Au Chocolat","Bahia",1554,2015,"70%","U.S.A.",3.5," ","Brazil"
"147","Bar Au Chocolat","Maranon Canyon",1295,2014,"70%","U.S.A.",4,"Forastero (Nacional)","Peru"
"148","Bar Au Chocolat","Duarte Province",983,2012,"70%","U.S.A.",3.25," ","Dominican Republic"
"149","Bar Au Chocolat","Chiapas",983,2012,"70%","U.S.A.",3.5," ","Mexico"
"150","Bar Au Chocolat","Sambirano",983,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar"
"151","Baravelli's","single estate",955,2012,"80%","Wales",2.75," ","Costa Rica"
"152","Batch","Dominican Republic, Batch 3",1840,2016,"65%","U.S.A.",3.5," ","Domincan Republic"
"153","Batch","Brazil",1868,2016,"70%","U.S.A.",3.75," ","Brazil"
"154","Batch","Ecuador",1880,2016,"65%","U.S.A.",3.25," ","Ecuador"
"155","Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,"73%","U.K.",3," ","Malaysia"
"156","Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,"72%","U.K.",3.25," ","Malaysia"
"157","Beehive","Brazil, Batch 20316",1784,2016,"80%","U.S.A.",2.75," ","Brazil"
"158","Beehive","Dominican Republic, Batch 31616",1784,2016,"70%","U.S.A.",2.75," ","Domincan Republic"
"159","Beehive","Ecuador, Batch 31516",1784,2016,"70%","U.S.A.",2.75," ","Ecuador"
"160","Beehive","Ecuador",1788,2016,"90%","U.S.A.",2.75," ","Ecuador"
"161","Belcolade","Costa Rica",586,2010,"64%","Belgium",2.75," ","Costa Rica"
"162","Belcolade","Papua New Guinea",586,2010,"64%","Belgium",2.75," ","Papua New Guinea"
"163","Belcolade","Peru",586,2010,"64%","Belgium",2.75," ","Peru"
"164","Belcolade","Ecuador",586,2010,"71%","Belgium",3.5," ","Ecuador"
"165","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,"70%","U.S.A.",3.5,"Criollo, Trinitario","Tanzania"
"166","Bellflower","Alto Beni, Palos Blanco",1804,2016,"70%","U.S.A.",3.25," ","Bolivia"
"167","Bellflower","Oko Caribe, Duarte P.",1864,2016,"70%","U.S.A.",3.5," ","Domincan Republic"
"168","Belyzium","Belize south, low fermentation",1768,2016,"83%","Germany",2.75,"Trinitario","Belize"
"169","Belyzium","Belize south",1768,2016,"78%","Germany",3,"Trinitario","Belize"
"170","Belyzium","Belize south",1768,2016,"83%","Germany",3.5,"Trinitario","Belize"
"171","Benoit Nihant","Baracoa",1141,2013,"74%","Belgium",3.5,"Trinitario","Cuba"
"172","Benoit Nihant","Chuao",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela"
"173","Benoit Nihant","Cuyagua Village",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela"
"174","Benoit Nihant","Rio Peripa H.",1141,2013,"73%","Belgium",4,"Trinitario","Ecuador"
"175","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,"72%","Belgium",4,"Trinitario","Indonesia"
"176","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,"72%","Belgium",3.75,"Trinitario","Madagascar"
"177","Beschle (Felchlin)","Madagascar",636,2011,"64%","Switzerland",3,"Trinitario","Madagascar"
"178","Beschle (Felchlin)","Maracaibo",636,2011,"88%","Switzerland",3,"Criollo","Venezuela"
"179","Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,"72%","Switzerland",3.5," ","Venezuela"
"180","Beschle (Felchlin)","Ecuador",636,2011,"72%","Switzerland",4," ","Ecuador"
"181","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,"70%","Switzerland",3.25,"Trinitario","Venezuela"
"182","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,"74%","Switzerland",3.25,"Criollo (Porcelana)","Venezuela"
"183","Beschle (Felchlin)","Java, Grand Cru",508,2010,"64%","Switzerland",3.5," ","Indonesia"
"184","Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,"72%","Switzerland",3.5," ","Venezuela"
"185","Bisou","Nicaragua, American style",1482,2015,"76%","U.S.A.",2.5," ","Nicaragua"
"186","Bisou","San Andres, American style",1486,2015,"76%","U.S.A.",2.5," ","Costa Rica"
"187","Bisou","San Andres, silk",1486,2015,"78%","U.S.A.",2.5," ","Costa Rica"
"188","Bisou","Belize",1486,2015,"86%","U.S.A.",3.25,"Trinitario","Belize"
"189","Bittersweet Origins","Ghana",963,2012,"72%","U.S.A.",3.5,"Forastero","Ghana"
"190","Bittersweet Origins","Bali, Singaraja",478,2010,"75%","U.S.A.",3.25," ","Indonesia"
"191","Bittersweet Origins","2009 Hapa Nibby",502,2010,"70%","U.S.A.",3.75,"Blend","Dominican Rep., Bali"
"192","Bittersweet Origins","Bali, Singaraja",558,2010,"65%","U.S.A.",2.75," ","Indonesia"
"193","Bittersweet Origins","Sambirano, 2009",565,2010,"70%","U.S.A.",3,"Trinitario","Madagascar"
"194","Bittersweet Origins","Ocumare, prototype",565,2010,"78%","U.S.A.",3,"Criollo","Venezuela"
"195","Bittersweet Origins","Puerto Plata",414,2009,"75%","U.S.A.",3," ","Dominican Republic"
"196","Bittersweet Origins","Puerto Plata",414,2009,"65%","U.S.A.",3.5," ","Dominican Republic"
"197","Bittersweet Origins","Sambirano",423,2009,"75%","U.S.A.",3.25,"Trinitario","Madagascar"
"198","Bittersweet Origins","Sambirano",431,2009,"65%","U.S.A.",3.5,"Trinitario","Madagascar"
"199","Bittersweet Origins","Sambirano",233,2008,"71%","U.S.A.",3,"Trinitario","Madagascar"
"200","Bittersweet Origins","Bocas del Toro",233,2008,"75%","U.S.A.",3.5," ","Panama"
"201","Bittersweet Origins","Puerto Plata",233,2008,"68%","U.S.A.",3.75," ","Dominican Republic"
"202","Bittersweet Origins","Ankasa",256,2008,"70%","U.S.A.",3,"Forastero","Ghana"
"203","Black Mountain","La Red",256,2008,"70%","U.S.A.",2.75," ","Dominican Republic"
"204","Black Mountain","Carenero Superior",256,2008,"70%","U.S.A.",2.75,"Trinitario","Venezuela"
"205","Black Mountain","Matiguas",256,2008,"70%","U.S.A.",3," ","Nicaragua"
"206","Black River (A. Morin)","Blue Mountain Region",1331,2014,"70%","U.K.",2.75,"Trinitario","Jamaica"
"207","Blanxart","Congo, Grand Cru",1046,2013,"82%","Spain",3.5,"Forastero","Congo"
"208","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,"82%","U.S.A.",3.5,"Trinitario","Madagascar"
"209","Blue Bandana","Lachua",1752,2016,"75%","U.S.A.",2.75," ","Guatemala"
"210","Blue Bandana","Kokoa Kamili",1752,2016,"75%","U.S.A.",3.5," ","Tanzania"
"211","Blue Bandana","Zorzal Reserva",1756,2016,"75%","U.S.A.",3," ","Dominican Republic"
"212","Blue Bandana","Guatemala",911,2012,"70%","U.S.A.",3.5," ","Guatemala"
"213","Blue Bandana","Madagascar",911,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar"
"214","Bonnat","Selva Maya",1912,2016,"75%","France",3.5," ","Mexico"
"215","Bonnat","Kaori",1339,2014,"75%","France",4," ","Brazil"
"216","Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,"75%","France",3.25," ","Dominican Republic"
"217","Bonnat","Surfin",1418,2014,"65%","France",3.75," ","Venez,Africa,Brasil,Peru,Mex"
"218","Bonnat","Maragnam",1038,2013,"75%","France",3.5," ","Brazil"
"219","Bonnat","Gabon",1042,2013,"75%","France",3.25," ","Gabon"
"220","Bonnat","Cuba",629,2011,"75%","France",3.5,"Trinitario","Cuba"
"221","Bonnat","Cusco, Cacao Cusco",629,2011,"75%","France",3.5," ","Peru"
"222","Bonnat","Piura Blanco",629,2011,"75%","France",3.5,"Forastero (Nacional)","Peru"
"223","Bonnat","Libanio",629,2011,"75%","France",3.75," ","Brazil"
"224","Bonnat","Haiti",629,2011,"75%","France",4," ","Haiti"
"225","Bonnat","Madagascar, 100% criollo",629,2011,"75%","France",4,"Criollo","Madagascar"
"226","Bonnat","Juliana",672,2011,"75%","France",3.5," ","Brazil"
"227","Bonnat","Jamaique",761,2011,"75%","France",3.25,"Trinitario","Jamaica"
"228","Bonnat","Ivory Coast",331,2009,"75%","France",3," ","Ivory Coast"
"229","Bonnat","Porcelana, Apotequil",336,2009,"75%","France",2.75,"Criollo","Peru"
"230","Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,"75%","France",3,"Criollo","Mexico"
"231","Bonnat","Xoconusco, cacao Real",395,2009,"75%","France",3,"Criollo","Mexico"
"232","Bonnat","Porcelana, Venezuela",199,2008,"75%","France",4,"Criollo (Porcelana)","Venezuela"
"233","Bonnat","Equateur",123,2007,"75%","France",2.5,"Forastero (Arriba)","Ecuador"
"234","Bonnat","Trinite",24,2006,"75%","France",3.75,"Trinitario","Carribean"
"235","Bonnat","Ocumare, Puerto Cabello",32,2006,"75%","France",4," ","Venezuela"
"236","Bonnat","Maracaibo, El Rosario",48,2006,"75%","France",4,"Criollo","Venezuela"
"237","Bonnat","Madagascar",75,2006,"75%","France",4,"Trinitario","Madagascar"
"238","Bonnat","Ceylan",81,2006,"75%","France",3," ","Sri Lanka"
"239","Bonnat","Chuao",81,2006,"75%","France",4,"Trinitario","Venezuela"
"240","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,"77%","Ecuador",3.25,"Forastero (Arriba)","Ecuador"
"241","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,"100%","Ecuador",1.5,"Forastero (Arriba)","Ecuador"
"242","Bowler Man","Maya Mountain",1267,2014,"70%","U.S.A.",2.75,"Trinitario","Belize"
"243","Bowler Man","Conacado",1271,2014,"70%","U.S.A.",2.75," ","Dominican Republic"
"244","Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,"70%","U.S.A.",3.5,"Criollo","Venezuela"
"245","Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,"70%","U.S.A.",3.75," ","Nicaragua"
"246","Brasstown aka It's Chocolate","Conacado",1462,2015,"68%","U.S.A.",3.75," ","Dominican Republic"
"247","Brasstown aka It's Chocolate","Maya Mountain",1255,2014,"70%","U.S.A.",3.75,"Trinitario","Belize"
"248","Brasstown aka It's Chocolate","Chuao",1355,2014,"70%","U.S.A.",4,"Trinitario","Venezuela"
"249","Brasstown aka It's Chocolate","Cooproagro",1125,2013,"72%","U.S.A.",3,"Trinitario","Dominican Republic"
"250","Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,"70%","U.S.A.",3.25," ","Ecuador"
"251","Brasstown aka It's Chocolate","Ghana",1129,2013,"75%","U.S.A.",3.5,"Forastero","Ghana"
"252","Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,"85%","U.S.A.",3.5,"Trinitario","Venezuela"
"253","Brazen","Elvesia P.",1514,2015,"60%","U.S.A.",3," ","Dominican Republic"
"254","Brazen","Elvesia P.",1514,2015,"80%","U.S.A.",3.25," ","Dominican Republic"
"255","Brazen","Alta Verapaz, 2014",1514,2015,"70%","U.S.A.",3.5," ","Guatemala"
"256","Brazen","Ambolikapiky P.",1518,2015,"80%","U.S.A.",2.75," ","Madagascar"
"257","Brazen","Maya Mountain",1518,2015,"80%","U.S.A.",3.25,"Trinitario","Belize"
"258","Brazen","Ambolikapkly P.",1518,2015,"60%","U.S.A.",3.25," ","Madagascar"
"259","Breeze Mill","Jamaica",1149,2013,"70%","U.S.A.",3,"Trinitario","Jamaica"
"260","Bright","Somia Plantation",1231,2014,"72%","Australia",3,"Trinitario","Madagascar"
"261","Bright","Marabel Farms",1231,2014,"70%","Australia",3.5," ","Dominican Republic"
"262","Bright","Camino Verde, Balao, Guayas",1231,2014,"72%","Australia",3.5," ","Ecuador"
"263","Bright","Gran Couva",1235,2014,"68%","Australia",2.75,"Trinitario","Trinidad"
"264","Britarev","Ecuador",1638,2015,"70%","Russia",3.25," ","Ecuador"
"265","Bronx Grrl Chocolate","Dominican Republic",1181,2013,"68%","U.S.A.",2.75," ","Dominican Republic"
"266","Burnt Fork Bend","Trinidad",1299,2014,"72%","U.S.A.",3.25,"Trinitario","Trinidad"
"267","Burnt Fork Bend","Mindo",1299,2014,"72%","U.S.A.",3.5," ","Ecuador"
"268","Burnt Fork Bend","Belize",1303,2014,"72%","U.S.A.",3.25,"Trinitario","Belize"
"269","Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,"60%","U.S.A.",2.5," ","Ecuador"
"270","Cacao Arabuco","Puerto Rico",1606,2015,"70%","Puerto Rico",2.5," ","Puerto Rico"
"271","Cacao Atlanta","Tumbes",1215,2014,"75%","U.S.A.",2.5,"Criollo","Peru"
"272","Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,"75%","U.S.A.",2.5," ","Dominican Republic"
"273","Cacao Atlanta","Dominican Republic w/ nibs",502,2010,"75%","U.S.A.",2.75," ","Dominican Republic"
"274","Cacao Atlanta","Patanemo",600,2010,"75%","U.S.A.",2.25," ","Venezuela"
"275","Cacao Barry","Grand 'Anse",1716,2016,"65%","France",3.5,"Trinitario, Criollo","Haiti"
"276","Cacao Barry","Santo Domingo",586,2010,"70%","France",3," ","Dominican Republic"
"277","Cacao Barry","Tanzania",300,2008,"75%","France",2," ","Tanzania"
"278","Cacao Barry","Venezuela",141,2007,"72%","France",2," ","Venezuela"
"279","Cacao Barry","Mexico",147,2007,"66%","France",3," ","Mexico"
"280","Cacao de Origen","Chuao",1688,2015,"77%","Venezuela",3.5,"Trinitario","Venezuela"
"281","Cacao de Origen","Rio Caribe",1692,2015,"75%","Venezuela",3.25,"Trinitario","Venezuela"
